product_id,material_offset_id,order_id,total_quota,req_mat_offset_status
7838,164,351,0.100000,approval
7837,164,351,0.200000,approval
6799,164,351,0.100000,approval
1648,165,350,0.500000,approval
1649,165,350,0.220000,approval
1537,165,350,0.635000,approval
7960,165,350,2.250000,approval
1649,165,350,0.040000,approval
3817,165,350,0.250000,approval
2490,165,350,5.000000,approval
3839,165,350,0.900000,approval
8290,165,350,5.000000,approval
3709,165,350,5.000000,approval
2515,165,350,5.000000,approval
7816,165,350,0.075000,approval
3656,165,350,0.015000,approval
3965,165,350,7.250000,approval
3968,165,350,5.000000,approval
3983,165,350,0.035000,approval
5516,165,350,5.000000,approval
5582,165,350,5.000000,approval
5594,165,350,5.000000,approval
5461,165,350,5.000000,approval
7814,165,350,5.000000,approval
5932,165,350,5.000000,approval
