request_id,req_stockout_code,req_stockout_status,is_complete_req
1255,01102022-1255,completed,0
1256,01102022-1256,completed,0
1258,01102022-1258,completed,0
1261,03102022-1261,completed,0
1264,03102022-1264,completed,0
1268,03102022-1268,completed,0
1269,03102022-1269,completed,0
1270,03102022-1270,completed,0
1271,03102022-1271,completed,0
1273,03102022-1273,completed,0
1275,04102022-1275,completed,0
1276,04102022-1276,completed,1
1277,04102022-1277,completed,0
1278,04102022-1278,completed,0
1279,04102022-1279,completed,0
1280,04102022-1280,completed,0
1282,04102022-1282,completed,0
1283,04102022-1283,completed,0
1284,04102022-1284,completed,0
1285,04102022-1285,completed,0
1286,05102022-1286,completed,0
1288,05102022-1288,completed,0
1289,05102022-1289,completed,0
1290,05102022-1290,completed,0
1291,05102022-1291,completed,1
1292,05102022-1292,completed,0
1293,05102022-1293,completed,0
1294,05102022-1294,completed,0
1295,05102022-1295,completed,0
1296,05102022-1296,completed,0
1297,05102022-1297,completed,0
1302,06102022-1302,completed,0
1303,06102022-1303,completed,0
1304,06102022-1304,completed,0
1311,06102022-1311,completed,0
1313,06102022-1313,completed,0
1314,06102022-1314,completed,0
1316,06102022-1316,completed,0
1317,07102022-1317,completed,0
1318,07102022-1318,completed,0
1321,07102022-1321,approval,0
1322,07102022-1322,completed,0
1323,07102022-1323,completed,0
1324,07102022-1324,completed,0
1325,07102022-1325,completed,0
1326,07102022-1326,completed,0
1327,07102022-1327,completed,0
1328,07102022-1328,completed,0
1329,07102022-1329,completed,0
1331,08102022-1331,completed,0
1334,08102022-1334,completed,0
1335,08102022-1335,completed,1
1336,08102022-1336,completed,0
1337,10102022-1337,completed,0
1339,10102022-1338,completed,0
1340,10102022-1340,completed,0
1341,10102022-1341,completed,0
1343,10102022-1343,completed,0
1344,10102022-1344,completed,0
1345,10102022-1345,completed,0
1347,10102022-1347,completed,0
1349,11102022-1349,completed,0
1350,11102022-1350,completed,0
1351,11102022-1351,completed,0
1352,11102022-1352,completed,0
1353,11102022-1353,completed,0
1354,11102022-1354,completed,0
1355,11102022-1355,completed,0
1356,11102022-1356,completed,1
1357,11102022-1357,completed,0
1358,11102022-1358,completed,0
1359,11102022-1359,completed,0
1360,11102022-1360,completed,0
1361,11102022-1361,review,0
1363,11102022-1363,completed,0
1370,11102022-1370,completed,0
1373,12102022-1373,completed,0
1375,12102022-1375,completed,0
1376,12102022-1376,completed,0
1377,12102022-1377,completed,0
1378,12102022-1378,completed,0
1379,12102022-1379,completed,0
1380,12102022-1380,completed,0
1381,13102022-1381,completed,0
1382,13102022-1382,completed,0
1383,13102022-1383,completed,0
1384,13102022-1384,completed,0
1385,13102022-1385,completed,0
1386,13102022-1386,completed,1
1387,13102022-1387,completed,1
1389,13102022-1389,completed,1
1390,13102022-1390,completed,0
1391,14102022-1391,completed,0
1392,14102022-1392,completed,0
1393,14102022-1393,completed,0
1394,14102022-1394,completed,0
1395,14102022-1395,completed,0
1397,14102022-1397,completed,0
1398,14102022-1398,completed,0
1400,14102022-1400,completed,0
1401,14102022-1401,completed,0
1402,14102022-1402,completed,0
1403,14102022-1403,completed,0
1404,14102022-1404,completed,1
1405,14102022-1405,completed,0
1406,14102022-1406,completed,0
1407,14102022-1407,completed,0
1408,14102022-1408,completed,0
1409,14102022-1409,completed,0
1414,14102022-1414,completed,1
1416,15102022-1416,completed,0
1417,15102022-1417,completed,0
